dataset,num_qubits,seed,C,accuracy,mcc,f1_score,kernel_time
UNSW-2018,6,5120,0.1,0.9844444444444445,0.9110966399776924,0.9838551267493474,53.72584899305366
UNSW-2018,6,5120,0.5,0.99,0.9434563530497264,0.9897644664146555,53.72584899305366
UNSW-2018,6,5120,1.0,0.99,0.9434563530497264,0.9897644664146555,53.72584899305366
UNSW-2018,6,5120,2.0,0.99,0.9434563530497264,0.9897644664146555,53.72584899305366
UNSW-2018,6,5120,5.0,0.99,0.9434563530497264,0.9897644664146555,53.72584899305366
UNSW-2018,6,5120,10.0,0.99,0.9434563530497264,0.9897644664146555,53.72584899305366
UNSW-2018,6,5120,50.0,0.99,0.9434563530497264,0.9897644664146555,53.72584899305366
UNSW-2018,6,5120,100.0,0.99,0.9434563530497264,0.9897644664146555,53.72584899305366
UNSW-2018,6,6144,0.01,0.9822222222222222,0.8979395299883721,0.9814419464488043,53.70428590592928
UNSW-2018,6,6144,0.1,0.9844444444444445,0.9110966399776924,0.9838551267493474,53.70428590592928
UNSW-2018,6,6144,0.5,0.9955555555555555,0.9751204801766553,0.9955105239587998,53.70428590592928
UNSW-2018,6,6144,1.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.70428590592928
UNSW-2018,6,6144,2.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.70428590592928
UNSW-2018,6,6144,5.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.70428590592928
UNSW-2018,6,6144,10.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.70428590592928
UNSW-2018,6,6144,50.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.70428590592928
UNSW-2018,6,6144,100.0,0.9944444444444445,0.9688396703007501,0.9943736263736264,53.70428590592928
UNSW-NB15,6,42,0.01,0.7011111111111111,0.5124556190327569,0.7017388157500337,53.93342083413154
UNSW-NB15,6,42,0.1,0.8222222222222222,0.6503253131699831,0.8254858632217124,53.93342083413154
UNSW-NB15,6,42,0.5,0.8488888888888889,0.6806598648414413,0.8501984126984127,53.93342083413154
UNSW-NB15,6,42,1.0,0.8422222222222222,0.6761422220241033,0.8444415097314507,53.93342083413154
UNSW-NB15,6,42,2.0,0.8455555555555555,0.6773533463819413,0.8472825575539982,53.93342083413154
UNSW-NB15,6,42,5.0,0.85,0.6853630263482268,0.8515460398545182,53.93342083413154
UNSW-NB15,6,42,10.0,0.8511111111111112,0.6991132871077076,0.8534407131780816,53.93342083413154
UNSW-NB15,6,42,50.0,0.8688888888888889,0.7339318482006877,0.870820232301044,53.93342083413154
UNSW-NB15,6,42,100.0,0.87,0.7358633742067545,0.8718939030586191,53.93342083413154
UNSW-NB15,6,123,0.01,0.7044444444444444,0.5108941752311197,0.7058109998002112,53.81509267608635
UNSW-NB15,6,123,0.1,0.8022222222222222,0.6129615235517711,0.805966170314191,53.81509267608635
UNSW-NB15,6,123,0.5,0.8222222222222222,0.6331531673992913,0.8246608419966084,53.81509267608635
UNSW-NB15,6,123,1.0,0.8233333333333334,0.6342426009203027,0.8256606857831679,53.81509267608635
UNSW-NB15,6,123,2.0,0.8288888888888889,0.6409131262015095,0.8306906800141283,53.81509267608635
UNSW-NB15,6,123,5.0,0.8433333333333334,0.6660001322621292,0.8443278565321864,53.81509267608635
UNSW-NB15,6,123,10.0,0.8588888888888889,0.7016482798315441,0.8600770520862117,53.81509267608635
UNSW-NB15,6,123,50.0,0.8633333333333333,0.7117354746593925,0.8645508956890658,53.81509267608635
UNSW-NB15,6,123,100.0,0.8655555555555555,0.7170921115932583,0.8668175070370082,53.81509267608635
UNSW-NB15,6,456,0.01,0.7877777777777778,0.5940875802693948,0.7919458254257342,53.894712346140295
UNSW-NB15,6,456,0.1,0.8844444444444445,0.7532438486056299,0.8795043728612394,53.894712346140295
UNSW-NB15,6,456,0.5,0.8833333333333333,0.7492630556837284,0.8787209756390616,53.894712346140295
UNSW-NB15,6,456,1.0,0.8788888888888889,0.7371091853444203,0.8746978211574484,53.894712346140295
UNSW-NB15,6,456,2.0,0.8744444444444445,0.7255508400751668,0.8706859763665085,53.894712346140295
UNSW-NB15,6,456,5.0,0.8755555555555555,0.7296114931861173,0.8753859535848151,53.894712346140295
UNSW-NB15,6,456,10.0,0.8744444444444445,0.7301329351130801,0.8748828755277335,53.894712346140295
